SMILES,logIE,correction
Oc1ccc(cc1)c2ccccc2,-1.5522206,-2.233792881
Oc1ccccc1c2ccccc2,-1.5522206,-0.132837663
OC(=O)c1cccc(Cl)c1,-0.07698132,1.219946631
Nc1ccc(cc1)C(O)=O,-2.0029678,-0.400676807
OC(=O)c1ccc(O)cc1,-0.16955101,-3.238775373
Nc1cccc(c1)C(O)=O,-1.9981916,-0.816537814
OC(=O)c1c(F)c(F)c(F)c(F)c1F,0.762142,0.307143634
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,0.7116792,0.552403006
CN(C)c1cccc(c1)C(O)=O,-0.74424255,-0.063203641
CC(C)c1ccc(cc1)C(O)=O,-1.1275969,-1.399142245
CC(C)(C)c1ccccc1O,-2.9043071,-0.087755478
CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,-1.2634387,-0.118087347
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O,0.7112226,0.347502212
Oc1cccc(Cl)c1,-1.1332588,-2.147941166
Oc1cccc(Br)c1,-0.4208947,2.913157783
Oc1ccccc1Br,-1.438878,-0.348923955
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,0.7135111,0.160575165
Oc1ccccc1[N+]([O-])=O,0.5641185,-1.271210819
Oc1cccc(c1)[N+]([O-])=O,0.5637973,0.248270273
Oc1ccc(cc1)[N+]([O-])=O,0.5636038,0.452811827
Oc1c(F)c(F)cc(F)c1F,0.30557108,0.151191447
OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O,1.6255305,0.148936921
OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O,1.521558,0.115373229
OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O,0.75720996,0.421977132
OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F,0.96525675,0.2277946
FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F,1.4502492,0.146912238
OC(C1=CC=CC(SC(F)(F)F)=C1)=O,0.68821937,0.379982551
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,1.3471403,0.294690936
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.5707996,0.328718124
